epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,155.34,0.29978,0.91089,1,0.22253,0.000474128,0.000474128,0.000474128
2,310.238,0.05909,0.9538,1,0.12125,0.000903414,0.000903414,0.000903414
3,464.189,0.04711,0.88779,1,0.27205,0.00128554,0.00128554,0.00128554
4,617.369,0.05858,0.87789,1,0.48897,0.00121679,0.00121679,0.00121679
5,770.538,0.04005,0.91089,1,0.37435,0.00114606,0.00114606,0.00114606
6,927.72,0.02617,0.87789,1,0.35566,0.00107532,0.00107532,0.00107532
7,1081.63,0.03465,0.9505,1,0.18135,0.00100459,0.00100459,0.00100459
8,1235.74,0.02729,0.94719,1,0.24078,0.000933851,0.000933851,0.000933851
9,1390.03,0.01817,0.94389,1,0.2805,0.000863116,0.000863116,0.000863116
10,1545.4,0.01157,0.94059,1,0.34142,0.00079238,0.00079238,0.00079238
11,1699.32,0.00673,0.94059,1,0.25979,0.000721645,0.000721645,0.000721645
12,1853.09,0.00723,0.9538,1,0.17278,0.000650909,0.000650909,0.000650909
13,2007.59,0.00663,0.94719,1,0.18582,0.000580174,0.000580174,0.000580174
14,2161.42,0.0112,0.94719,1,0.16834,0.000509438,0.000509438,0.000509438
15,2315.3,0.00971,0.94389,1,0.18929,0.000438703,0.000438703,0.000438703
16,2469.73,0.01289,0.93729,1,0.25638,0.000367967,0.000367967,0.000367967
17,2623.07,0.00502,0.94389,1,0.20605,0.000297232,0.000297232,0.000297232
18,2775.91,0.00499,0.93729,1,0.2804,0.000226497,0.000226497,0.000226497
19,2929.58,0.00476,0.93399,1,0.22488,0.000155761,0.000155761,0.000155761
20,3082.59,0.00282,0.94389,1,0.20008,8.50255e-05,8.50255e-05,8.50255e-05
