epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.489,0.29978,0.91089,1,0.22253,0.000474128,0.000474128,0.000474128
2,196.284,0.05909,0.9538,1,0.12125,0.000903414,0.000903414,0.000903414
3,289.45,0.04711,0.88779,1,0.27205,0.00128554,0.00128554,0.00128554
4,380.715,0.05858,0.87789,1,0.48897,0.00121679,0.00121679,0.00121679
5,471.446,0.04005,0.91089,1,0.37435,0.00114606,0.00114606,0.00114606
6,563.908,0.02617,0.87789,1,0.35566,0.00107532,0.00107532,0.00107532
7,657.598,0.03465,0.9505,1,0.18135,0.00100459,0.00100459,0.00100459
8,749.75,0.02729,0.94719,1,0.24078,0.000933851,0.000933851,0.000933851
9,841.115,0.01817,0.94389,1,0.2805,0.000863116,0.000863116,0.000863116
10,932.51,0.01157,0.94059,1,0.34142,0.00079238,0.00079238,0.00079238
11,1025.99,0.00673,0.94059,1,0.25979,0.000721645,0.000721645,0.000721645
12,1118.02,0.00723,0.9538,1,0.17278,0.000650909,0.000650909,0.000650909
13,1209.21,0.00663,0.94719,1,0.18582,0.000580174,0.000580174,0.000580174
14,1302.75,0.0112,0.94719,1,0.16834,0.000509438,0.000509438,0.000509438
15,1412.22,0.00971,0.94389,1,0.18929,0.000438703,0.000438703,0.000438703
16,1566.33,0.01289,0.93729,1,0.25638,0.000367967,0.000367967,0.000367967
17,1719.87,0.00502,0.94389,1,0.20605,0.000297232,0.000297232,0.000297232
18,1874.09,0.00499,0.93729,1,0.2804,0.000226497,0.000226497,0.000226497
19,2028.97,0.00476,0.93399,1,0.22488,0.000155761,0.000155761,0.000155761
20,2183.76,0.00282,0.94389,1,0.20008,8.50255e-05,8.50255e-05,8.50255e-05
