epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.461,0.13238,1,1,0.01958,0.000552647,0.000552647,0.000552647
2,201.766,0.0182,1,1,0.01028,0.00105345,0.00105345,0.00105345
3,300.813,0.01365,0.97403,1,0.03144,0.00149925,0.00149925,0.00149925
4,400.172,0.02791,0.99134,1,0.02753,0.00141945,0.00141945,0.00141945
5,500.246,0.03647,0.98701,1,0.05472,0.00133693,0.00133693,0.00133693
6,599.769,0.03,0.82684,1,0.43182,0.00125442,0.00125442,0.00125442
7,702.606,0.0115,0.99567,1,0.03793,0.0011719,0.0011719,0.0011719
8,804.198,0.01742,0.96537,1,0.04269,0.00108938,0.00108938,0.00108938
9,905.66,0.00639,0.99134,1,0.0634,0.00100687,0.00100687,0.00100687
10,1006.7,0.00827,0.87013,1,0.24624,0.000924352,0.000924352,0.000924352
11,1108.05,0.00815,0.93506,1,0.18554,0.000841835,0.000841835,0.000841835
12,1210.96,0.00452,0.94805,1,0.10246,0.000759318,0.000759318,0.000759318
13,1311.56,0.00255,0.97403,1,0.05697,0.000676802,0.000676802,0.000676802
14,1411.85,0.00156,0.93506,1,0.11766,0.000594286,0.000594286,0.000594286
15,1513,0.00499,0.94805,1,0.06832,0.000511769,0.000511769,0.000511769
16,1613.08,0.00157,1,1,0.01489,0.000429253,0.000429253,0.000429253
17,1714.46,0.00074,1,1,0.0199,0.000346736,0.000346736,0.000346736
18,1820.08,0.00062,1,1,0.00675,0.00026422,0.00026422,0.00026422
19,1919.8,0.0007,1,1,0.00567,0.000181703,0.000181703,0.000181703
